Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
Kyrgyz Republic	KGZ	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																								98.70160675										99.24140167						99.50131989	99.50131989	
Cambodia	KHM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																							67.3350296						73.6099472				77.58654022	73.90003204						78.34593964	78.34593964	
Kiribati	KIR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
St. Kitts and Nevis	KNA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
"Korea, Rep."	KOR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																	97.96594238								#DIV/0!	
Kuwait	KWT	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																59.56438828					67.51766205					74.49086761										78.39550018										93.27445984	93.28211975	93.6641922	93.90621185				95.51316833	95.58582306		96.1177063	95.73889923	
Latin America & Caribbean (excluding high income)	LAC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															87.10163879										89.45039368										92.44799042						92.44799042	
Lao PDR	LAO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																				60.25133133					69.58312225	68.73439026				72.70226288										79.86746216	79.86746216	
Lebanon	LBN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																89.61244202								94.05110168	94.05110168	
Liberia	LBR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																									32.10676956										42.66604996										43.10837173			42.94107819								47.60013962	47.60013962	
Libya	LBY	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																									60.16439056										76.50520325										85.41681671										91.04144287	91.38887024	91.21515656	
St. Lucia	LCA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Latin America & Caribbean	LCN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															87.46382904										89.73644257										92.62431335						92.62431335	
Least developed countries: UN classification	LDC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															45.83043289										53.41339874										60.56823349						60.56823349	
Low income	LIC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															46.02457809										52.69497299										56.57405472						56.57405472	
Liechtenstein	LIE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Sri Lanka	LKA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						86.77792358																				90.68274689					90.80883026		90.55795288		91.18135834					92.61416626	91.8977623	
Lower middle income	LMC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															58.59611893										67.331604										73.91007996						73.91007996	
Low & middle income	LMY	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															69.66971588										77.78213501										82.30508423						82.30508423	
Lesotho	LSO	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									86.25443268									75.80020142						79.3609314	79.3609314	
Late-demographic dividend	LTE	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																															82.47946167										91.46699524										94.78494263						94.78494263	
Lithuania	LTU	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														98.44126892												99.64575195										99.81559753				99.82328033	99.81943893	
Luxembourg	LUX	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Latvia	LVA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														99.45230103											99.74656677											99.89589691				99.89269257	99.89429474	
"Macao SAR, China"	MAC	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						90.37818146																				91.29537201					93.49974823					95.64003754				96.2276001	95.93381882	
St. Martin (French part)	MAF	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
